"protein","mean","sd","min","max","n_neg"
"chemokine (C-C motif) ligand 13",14.6218767662534,1.12099451397784,11.6276166861282,17.5697760523867,0
"chemokine (C-C motif) ligand 19",9.88499860978759,1.0324820688077,7.66594450540124,12.8607453729984,0
"neurturin",0.738137534520097,0.333662483566119,-0.156106499906209,2.4160604889446,2
"CD244 molecule, natural killer cell receptor 2B4",7.28670501206018,0.575167215405522,5.66325742009891,8.6872655705059,0
"fibroblast growth factor 23_3",3.76288340898079,1.03598264773935,2.28276580911041,9.58806025825959,0
"fibroblast growth factor 23_4",3.45604369668864,0.971962203590107,1.98485894023677,9.16645674153425,0
"CUB domain containing protein 1",4.22673377821948,0.882976707048358,2.28604915386735,6.73812402679384,0
"chemokine (C-C motif) ligand 28",2.75688784072453,0.646465139024714,1.65082523294495,6.99537371439617,0
"fibroblast growth factor 21_3",7.54246171117443,2.22479945001069,3.30180214501641,13.9202337834654,0
"fibroblast growth factor 21_4",6.05594013741864,2.04354165109712,2.01313226852024,11.8512832917996,0
"interleukin 20",1.12186956011437,0.285356920454174,0.495472694741608,3.07166296355466,0
"CD274 molecule",6.24066252966886,0.527396114814533,5.06031410097984,8.1393575006429,0
"interleukin 17C",2.32720439530634,1.02514553388319,0.306125623119904,6.03606689422878,0
"interleukin 20 receptor, alpha",0.509630895641849,0.504169774381584,-0.362732165173652,3.83570556770167,10
"DNA fragmentation factor, 45kDa, alpha polypeptide",5.4525483748292,0.840288594883645,3.31966132447577,8.46222718807561,0
"BTB and CNC homology 1, basic leucine zipper transcription factor 1",3.65732572560905,1.12769295629377,0.336493643428601,6.29651479580371,0
"sprouty homolog 2 (Drosophila)",4.50514216713878,1.53482444958179,0.13078068404758,8.60135913175941,0
"integral membrane protein 2A",2.22477805966073,0.87703528263821,0.448879966632697,4.10047025224413,0
"lymphocyte antigen 75",2.78118187782593,0.446922629641258,1.8538091760764,4.44290421620093,0
"SH2 domain containing 1A",2.19398269513664,0.939725180597595,0.567688528288689,5.287263883616,0
"PC4 and SFRS1 interacting protein 1",3.80712715367842,0.980494649520105,1.89546638001211,7.2017091626943,0
"natural cytotoxicity triggering receptor 1",2.27278439120126,0.58433889907457,1.34095503769407,4.4239002629431,0
"hexamethylene bis-acetamide inducible 1",6.32146000562796,0.90623888004774,3.41587339596391,8.13093131239873,0
"DEAD (Asp-Glu-Ala-Asp) box polypeptide 58",4.10873650262499,1.54693075585995,1.38362159429442,8.0813199354412,0
"interleukin 5 (colony-stimulating factor, eosinophil)_3",1.19245531501255,0.966942584015149,-0.322676472395764,6.21567076583645,9
"interleukin 5 (colony-stimulating factor, eosinophil)_4",0.429373149830371,1.01509549660284,-1.04167535606848,4.65976556975547,89
"interleukin 6 (interferon, beta 2)_7",6.16234583003566,2.5902612034179,2.18272920283766,14.3150712182006,0
"interleukin 6 (interferon, beta 2)_8",5.31163758056715,2.52723667464742,1.34079921960582,13.5229783991594,0
"interleukin 6 (interferon, beta 2)_9",4.6805761332372,2.46996256985262,1.31031265801976,12.7017991085733,0
"jun proto-oncogene",-0.238070812429365,0.677364611399677,-1.88817868009357,2.66552009983668,170
"keratin 19",4.93136738995566,1.54705828420727,2.44759725070197,9.32200164753401,0
"fibroblast growth factor 2 (basic)",1.81739077411574,1.13274534283636,-0.989901767783562,3.94147655680954,15
"CD28 molecule",1.40066171599133,0.41756811344425,0.503388179020294,2.6743116780658,0
"hematopoietic cell-specific Lyn substrate 1",5.89021659340693,0.739354292146002,3.37004619508189,7.35442787725281,0
"amphiregulin,amphiregulin B",2.70819696363513,1.09432048041424,0.74351923898558,5.62569607142991,0
"galactosidase, beta 1",0.874902747272488,0.653241305814151,-1.08384266753244,2.64488053436663,15
"O-6-methylguanine-DNA methyltransferase",5.39906850592896,0.761646437140722,1.81231630220293,6.63328150448855,0
"integrin, beta 6",2.15105032115773,0.44369838747195,1.0166163801703,3.54748461007273,0
"lymphocyte-activation gene 3",3.00083773310925,0.744681493520552,1.11015033799,5.70744498966782,0
"tripartite motif containing 21",2.88696175253138,1.05922140445756,-0.992932336382856,5.80934353458488,3
"interleukin 10_3",4.73701854669487,1.23740503149174,2.79934276280267,9.28967860971959,0
"interleukin 10_4",3.55628653715487,1.29863896811959,1.48697840161267,8.80539110620506,0
"integrin, alpha 6",1.5860475991027,0.993935755439942,-0.922717872444083,3.93571235340799,13
"aryl hydrocarbon receptor nuclear translocator",-1.21916712433664,1.01469096214653,-2.80492584921113,5.26677263451096,222
"hydroxysteroid (11-beta) dehydrogenase 1",3.22198844748623,0.612062447895145,1.70444418662381,4.64089696302806,0
"peroxiredoxin 5",5.08174813899247,0.998754793739504,2.193590734622,7.01617345076627,0
"peroxiredoxin 3",1.61166149184517,0.932430808662751,-0.783251682714571,3.82988498869026,12
"neurotrophin 4",1.02077904995758,0.51276579812933,-0.0378163376338321,3.81724455690991,1
"neurofibromin 2 (merlin)",0.844413424624441,1.53069350267321,-3.04817787171783,3.53731352751203,65
"interleukin 12 receptor, beta 1",2.33296264975087,0.506204055695887,1.18608155611681,3.77657334134805,0
"chemokine (C-X-C motif) ligand 12",1.98640652264841,0.340623405717223,1.11192164472117,3.17721979937725,0
"mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)",1.64161233941861,0.413066039824529,0.611108006179363,2.71054305562129,0
"histamine N-methyltransferase",1.53154694285738,0.849133649297733,-0.306697993514159,5.28192398134097,4
"interleukin-1 receptor-associated kinase 1",3.22783551198414,1.14216627934876,-0.0912904475169538,5.99458766392448,1
"chemokine (C-C motif) ligand 11_3",7.65012119631159,0.7090685851409,5.4784895014768,10.6370169270134,0
"chemokine (C-C motif) ligand 11_4",7.53385232597275,0.680963205465097,5.97321398625647,10.3640423161586,0
"karyopherin alpha 1 (importin alpha 5)",-0.329312680062055,0.856714036119437,-1.60467873105394,5.8089821516994,184
"stanniocalcin 1",6.0171948637346,0.677498177948117,4.34792808099062,7.92760154535444,0
"family with sequence similarity 3, member B",4.32651037912697,0.7381724803476,2.22795224710267,6.28446621623941,0
"eukaryotic translation initiation factor 5A",-0.300300762981019,0.460309891479475,-1.16329492420725,2.2087188151096,195
"coxsackie virus and adenovirus receptor",2.00000585460563,0.583348015729192,0.741668572370894,4.08629994080393,0
"SRSF protein kinase 2",3.00726823165483,1.35965210725688,-0.858907383987416,5.76495571122909,6
"butyrophilin, subfamily 3, member A2",2.66393792408205,0.479133346245522,1.40223763431355,4.61584668754183,0
"interferon regulatory factor 9",2.75134588887644,0.836262861641441,1.09373986399521,5.50611583238734,0
"CD83 molecule",3.15696285882248,0.473515847299873,2.06665077819356,4.9508859299394,0
"parathyroid hormone 1 receptor",2.45001230481328,0.487818567080426,1.59387959667158,5.34878786196783,0
"eukaryotic translation initiation factor 4 gamma, 1",6.67971421110842,0.76582076765851,3.83060901931958,8.11887785197267,0
"protein kinase C, theta",1.64637966527545,1.17303833537574,-1.4798136841665,4.09960194103589,29
"islet cell autoantigen 1, 69kDa",3.50221066928772,1.14408922844177,0.693843176282476,6.82279905903844,0
"zinc finger and BTB domain containing 16",4.78443014474051,1.39077145322125,0.740053472157541,8.19340092801029,0
"peroxiredoxin 1",2.90880001580702,0.637065064395663,1.75108971309475,5.56237823165298,0
"cytoskeleton-associated protein 4",5.77162656529985,0.82649871280462,4.24708094621347,8.38519737774924,0
"TNF receptor-associated factor 2",4.28482738568892,1.01392641632009,1.62319985925186,5.97621911997242,0
"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3",1.68918001293953,0.868840583388745,0.433901142039902,6.82626354172088,0
"killer cell lectin-like receptor subfamily D, member 1",6.10791053024804,0.752630547172809,4.4942792925712,8.1010778875418,0
"baculoviral IAP repeat containing 2",1.60053002658527,0.775613165691591,-0.0335264694737928,3.52767088309269,1
"diacylglycerol kinase, zeta",0.696389001992362,0.561458748783373,-0.527568856018826,2.26276482757107,30
"dynactin 1",5.32170023007764,0.918995710123293,2.50509258101532,7.05502602938375,0
"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)",0.815511897575039,0.568050538603986,-0.357062103845974,4.19845463699835,6
"corneodesmosin",3.7652884399878,0.637867670681214,2.11086750295459,5.79845594220297,0
"tryptase alpha/beta 1",3.19685761360354,0.674410424437709,1.59573796373319,5.01307517395131,0
"Fc receptor-like 6",2.89505729198506,0.701011334641764,0.947975130994075,4.63662363173678,0
